127.0.0.1 - - [02/May/2018:10:27:56 +0100] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [02/May/2018:10:28:02 +0100] "GET /pfe/bonjour HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [02/May/2018:10:28:02 +0100] "GET /pfe/presentation/css/bootstrap.min.css HTTP/1.1" 500 16384
0:0:0:0:0:0:0:1 - - [02/May/2018:10:28:03 +0100] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [02/May/2018:10:28:03 +0100] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [02/May/2018:10:28:05 +0100] "POST /pfe/bonjour HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [02/May/2018:10:28:08 +0100] "POST /pfe/bonjour HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [02/May/2018:10:28:10 +0100] "POST /pfe/bonjour HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [02/May/2018:10:31:57 +0100] "GET /pfe/accueil HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [02/May/2018:10:31:57 +0100] "GET /pfe/presentation/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [02/May/2018:10:31:57 +0100] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [02/May/2018:10:31:57 +0100] "GET /pfe/presentation/css/accueilStyle.css HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [02/May/2018:10:31:57 +0100] "GET /pfe/presentation/img/user1.png HTTP/1.1" 200 10350
0:0:0:0:0:0:0:1 - - [02/May/2018:10:31:58 +0100] "GET /pfe/presentation/img/logoFsac.png HTTP/1.1" 200 31865
0:0:0:0:0:0:0:1 - - [02/May/2018:10:31:58 +0100] "GET /pfe/presentation/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [02/May/2018:10:31:58 +0100] "GET /pfe/presentation/js/jquery.validate.js HTTP/1.1" 200 48676
0:0:0:0:0:0:0:1 - - [02/May/2018:10:31:58 +0100] "GET /pfe/presentation/js/jquery-1.11.1.js HTTP/1.1" 200 282766
0:0:0:0:0:0:0:1 - - [02/May/2018:10:38:01 +0100] "GET /pfe/bonjour HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [02/May/2018:10:38:03 +0100] "POST /pfe/bonjour HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [02/May/2018:10:38:08 +0100] "POST /pfe/bonjour HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [02/May/2018:10:38:17 +0100] "GET /pfe/bonjour HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [02/May/2018:10:38:20 +0100] "POST /pfe/bonjour HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [02/May/2018:10:38:27 +0100] "POST /pfe/bonjour HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/May/2018:10:38:29 +0100] "POST /pfe/bonjour HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [02/May/2018:10:52:52 +0100] "GET /pfe/brevetDroit HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [02/May/2018:10:52:52 +0100] "GET /pfe/presentation/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [02/May/2018:10:52:52 +0100] "GET /pfe/presentation/css/accueilStyle.css HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [02/May/2018:10:52:52 +0100] "GET /pfe/presentation/img/logoFsac.png HTTP/1.1" 200 31865
